"","M.cap.1.1.Out","M.cap.1.2.Out","M.cap.1.3.Out","A.yong.1.1.Out","A.yong.1.2.Out","A.yong.1.3.Out","T.ren.1.1.Out","T.ren.1.2.Out","T.ren.1.3.Out","M.cap.2.1.Out","M.cap.2.2.Out","M.cap.2.3.Out","M.dig.2.1.Out","M.dig.2.2.Out","M.dig.2.3.Out","M.cap.3.1.Out","M.cap.3.2.Out","M.cap.3.3.Out","A.mill.1.1.Out","A.mill.1.2.Out","A.mill.1.3.Out","A.hum.1.1.Out","A.hum.1.2.Out","A.hum.1.3.Out","Acro.1.1.Out","Acro.1.2.Out","Acro.1.3.Out","Acro.2.1.Out","Acro.2.2.Out","Acro.2.3.Out","Pav.1.1.Out","Pav.1.2.Out","Pav.1.3.Out","T.ren.2.1.Out","T.ren.2.2.Out","T.ren.2.3.Out","Psam.1.1.Out","Psam.1.2.Out","Psam.1.3.Out","P.dam.2.1.Out","P.dam.2.2.Out","P.dam.2.3.Out","P.dam.3.1.Out","P.dam.3.2.Out","P.dam.3.3.Out","Cyph.1.1.Out","Cyph.1.2.Out","Cyph.1.3.Out","A.hum.2.1.In","A.hum.2.2.In","A.hum.2.3.In","M.cap.3.1.In","M.cap.3.2.In","M.cap.3.3.In","M.cap.2.1.In","M.cap.2.2.In","M.cap.2.3.In","T.ren.1.1.In","T.ren.1.2.In","T.ren.1.3.In"
"Quant.34.0",0.39172246,0.384347673,0.380617714,0.411839995,0.397069841,0.398245411,0.260145718,0.290717726,0.212661019,0.202643996,0.200487172,0.189180412,0.226747917,0.282161134,0.314776251,0.211855566,0.218331067,0.28562599,0.283916376,0.317694576,0.303168105,0.387783479,0.366237936,0.311706803,0.395696033,0.401376132,0.373639456,0.360506069,0.32789436,0.318165061,0.299565961,0.393000913,0.396073896,0.269114324,0.242941518,0.27770805,0.295743031,0.289464219,0.281471819,0.308059587,0.30192049,0.33313854,0.338213844,0.338001029,0.337161836,0.394245998,0.364022665,0.348937646,0.370890881,0.324546297,0.367899437,0.274555265,0.281586041,0.270024558,0.266543229,0.277179238,0.280780709,0.34563005,0.349593138,0.337374993
"Sigma.34.0",3.670488278,3.617004397,3.731832353,4.208957351,5.191541833,4.938709573,4.395126873,3.909614504,4.561694987,4.863612321,6.125254747,5.717948385,4.979624905,4.412001898,4.903411754,3.561413318,3.264817415,3.366885508,5.260781434,6.17500131,5.237226479,5.690745727,6.233313946,5.891313952,5.09301428,5.304683758,4.016566334,5.480729504,5.97443717,5.227542468,4.970325682,5.345819831,4.045468754,3.511851628,4.517497661,3.892410637,4.798463449,5.929250669,4.873837493,5.40159681,5.867704973,6.221111696,5.116338064,5.337883342,4.842778514,4.1563004,6.986418231,5.621622473,6.39672396,5.248390185,6.336489426,4.571671439,4.643541208,4.104466329,6.060254494,5.531505647,5.111910221,4.237660674,5.491618381,4.293930269
"Connect.34.0",0.063283608,0.033464103,0.075126376,0.04261972,0.014267715,0.074872293,0.092179586,0.299789758,0.282260204,0.138916887,0.12335158,0.020201946,0.188770852,0.14371785,0.171181999,0,0.225329142,0.11543504,0,0.055511812,0.105978646,0.016628592,0.039276606,0.145760391,0.047861305,0,0.028324297,0.124477883,0.102975824,0.13872352,0,0,0,0.070216908,0.19385034,0.101904336,0,0.123727994,0.145222043,0,0,0.075217351,0.209368851,0,0,0.251582166,0.042648072,0.02008276,0.208178705,0,0.193130615,0.161049367,0.050335808,0.214631652,0.094061364,0.072452363,0.125953384,0.188461427,0.158584739,0.127806066
"Tau1.34.0",1535.059452,2061.671076,2202.879389,1926.222121,2210.34338,2035.098821,2360.646243,1924.728085,2887.766509,1403.52049,1722.80278,1264.175408,1533.946897,1232.008066,1130.084612,909.9521493,1275.243762,1416.428196,1844.909478,1436.112347,1473.53313,1397.27078,1846.170385,1662.115543,2140.474617,1953.92129,2087.837262,1773.41828,2006.7205,1445.894303,1886.401116,1487.841586,1096.900338,1547.044318,1566.099648,1525.753159,2593.789473,1616.008198,2244.081975,1819.976662,1945.246279,1479.96761,1147.227168,1152.599231,1177.078135,1704.395908,2936.577055,1897.104933,1266.092511,1621.866804,1408.214518,1026.637165,1038.926707,904.4012235,1420.351422,1466.165233,1206.494942,1007.950379,1426.53337,1217.671318
"Tau2.34.0",691772.9044,772907.5867,913659.345,530062.2191,505087.4489,567589.767,841116.4157,711604.5144,1021580.739,2129470.42,1679996.41,2205460.177,996649.023,731289.1234,711794.5783,1592638.378,1395865.329,993284.5726,787636.027,685370.3185,844996.4639,478065.8374,498862.0298,645782.4906,428189.4028,397120.4673,574552.4161,514168.1098,710563.0265,626734.9743,797812.8254,447432.4705,563680.0865,915104.5703,1138707.912,849634.3744,658449.5183,726176.9514,761201.7582,712229.778,695233.9547,670700.4472,568311.7931,615622.6847,638158.1089,598310.7844,645973.5899,608759.8471,514293.0103,530872.1473,987307.9853,1101047.502,1030167.285,1060916.27,990725.3503,947800.8237,927940.4205,600608.6709,516168.2624,686063.7279
"NPQ.34.0",0.570041321,0.569783944,0.468823572,0.436556026,0.487727294,0.507803451,0.549981697,0.612907645,0.720942735,1.221644208,1.307657906,1.364996399,1.312172421,1.360677461,1.023635178,0.769644144,0.796823332,0.603126153,0.33234068,0.275962783,0.336313861,0.660102459,0.686220969,0.622489154,0.625268329,0.595886476,0.314459135,0.383956941,0.486061636,0.527801892,0.341856873,0.391083265,0.381291457,0.62267343,0.656374083,0.464461516,0.091788764,0.368459909,0.302127107,0.33970802,0.325330741,0.135761846,0.461270147,0.088324773,0.48660462,0.254308659,0.320124097,0.296494725,0.568682121,0.616537903,0.719148906,0.546143586,0.555799823,0.478615939,0.645707336,0.637289793,0.511779037,0.340199951,0.37103934,0.326582379
"qP.34.0",0.933251777,0.911545061,0.88839049,0.977112088,0.948609577,0.955986239,0.888313184,0.918354345,0.891924374,0.934327383,0.933153714,0.929293273,0.926248458,0.95718003,0.946953129,0.911675348,0.912725299,0.922973687,0.884001923,0.869360758,0.896196038,0.955283979,0.917776837,0.949243939,0.982335997,0.959551835,0.884021812,0.878303045,0.873545346,0.877247209,0.929385241,0.979229213,0.987516988,0.942841848,0.901701832,0.896952618,0.814059024,0.92796904,0.906830699,0.889952367,0.869478415,0.844925726,0.912028162,0.818539207,0.915544211,0.951468577,0.944312483,0.939626618,0.906795243,0.968832837,1,0.902290166,0.907285352,0.883753406,0.90555411,0.89704242,0.895708889,0.94573916,0.914451957,0.927659107
"ABQ.34.0",0.268368464,0.285648004,0.264152571,0.226249427,0.242112774,0.223932173,0.163182766,0.1439401,0.204353126,0.41009072,0.213334924,0.346107087,0.242899872,0.178479767,0.210026719,0.286282131,0.324526047,0.309667855,0.228416355,0.169425604,0.160290338,0.148168552,0.280178303,0.439514605,0.097571627,0.233169968,0.246297567,0.180669877,0.166863766,0.200847298,0.277764523,0.229648842,0.064777742,0.186752715,0.145908318,0.124929359,0.142362089,0.08145328,0.066584901,0.15836549,0.081729765,0,0.125006311,0.134412981,0.200148933,0.169066078,0.147660941,0.146090995,0.156713323,0.240079558,0.080085408,0.178251884,0.269054796,0.244440067,0.273498552,0.258461609,0.211083964,0.087638514,0.072069146,0.138961143
"Quant.1.1",0.394849513,0.397037398,0.379852402,0.438009286,0.476601366,0.436311765,0.360721568,0.405830247,0.432101519,0.275155193,0.261876578,0.241731665,0.371211722,0.41771152,0.411303973,0.272467142,0.284436146,0.324708347,0.384134779,0.383466178,0.369044589,0.433021981,0.413678137,0.383301538,0.500255617,0.480650656,0.416754364,0.453816718,0.416511682,0.3996976,0.340708753,0.434668888,0.451319624,0.406790061,0.349801365,0.405860704,0.370392581,0.377767635,0.358425158,0.400392705,0.414619341,0.414163563,0.456973353,0.39481592,0.398839816,0.407263075,0.376458899,0.377230945,0.402074522,0.377171715,0.395012534,0.320822394,0.322697981,0.317895078,0.284684272,0.276873282,0.288544986,0.408752838,0.413041626,0.396677485
"Sigma.1.1",2.513875916,2.47286284,2.412967308,2.688432941,2.968314068,3.135838532,2.673834657,2.426323287,2.447776773,3.792321873,4.117907974,4.578988078,3.553462502,3.296822486,3.090178068,2.641003333,2.490589041,2.84416484,3.179532302,3.223249809,3.101472944,3.502268899,4.309348267,3.638226042,2.728035865,3.153220496,2.562186809,3.026124854,3.313138029,3.004148018,3.40338909,3.300784364,2.336260311,2.36729518,3.681927507,2.473748612,3.05429441,2.988799933,2.847672299,3.360313107,3.056442002,3.192339856,2.677255128,3.152409508,2.992372403,2.740842817,4.637010343,3.646089475,4.29414941,4.026019579,4.012474156,3.082240817,3.151135368,2.545748986,3.778922452,3.763465729,3.464717045,2.424144066,3.084829913,2.242382479
"Connect.1.1",0.122561032,0.065613148,0.013552981,0.021243659,0,0.035401693,0,0,0,0,0,0.071727165,0,0.148770911,0,0,0.048393536,0.151489716,0,0,0.086875865,0.031274668,0,0,0,0,0,0.076845873,0.141145697,0,0,0,0.020065129,0.115206651,0.253716543,0.072495985,0.080454073,0,0.031621274,0.019747555,0.048828092,0.127542255,0.054914866,0,0,0.229038313,0.01881572,0.078940995,0.128972039,0,0.150399185,0,0,0,0,0,0.090268869,0.111097878,0.140965727,0.106908966
"Tau1.1.1",693.6652279,897.1772481,869.2895372,914.1653753,1187.990363,1048.28302,1004.345981,901.9212475,1052.344802,1165.342402,1249.723412,1047.560723,1032.525675,873.6884113,820.9150195,999.313249,1037.583205,835.8879389,1304.264856,1019.978116,1059.285907,897.5214943,1088.337466,1044.852111,1215.323139,998.5392152,955.7083279,872.8594251,1081.345936,840.7806349,1183.868842,849.8769491,812.5758436,767.6664104,1306.58855,991.9407621,1165.418847,972.084281,858.6122762,951.891218,950.2904447,846.8826229,839.3823248,799.8715682,739.2998457,858.2910788,1288.742257,1059.342101,862.718292,1240.127989,1047.868164,711.5647025,876.7051329,920.0329774,985.2078896,885.2652322,805.1911378,658.1832277,715.8137748,737.4536712
"Tau2.1.1",3908848.155,1620014.552,1829124.974,1199365.33,708436.9229,801421.1129,1986042.449,870159.3142,986846.3588,3754605.674,3583245.149,4211517.535,864482.5624,1320440.687,1232213.472,5296777.262,1737811.821,1755399.296,796160.3942,749431.2941,971249.1199,834287.4385,987908.5615,1042037.611,488809.1545,546410.7345,843432.1186,611076.8082,653932.9522,821583.355,3334708.483,1904558.476,2166215.349,973026.463,1378645.185,774982.7527,832481.2876,940666.0274,1260287.477,761301.7828,871665.7772,926533.5149,683960.1679,822364.1169,1035263.62,809485.2793,707919.0068,743047.039,2308630.301,2999190.047,4006092.072,1393593.373,2412716.746,3507243.966,3716050.05,5268967.044,5642781.469,1448832.261,1174756.655,1150082.62
"NPQ.1.1",0.358703244,0.255441665,0.242393211,0.287085351,0.198640669,0.297375713,0.188775236,0.275740842,0.192201133,0.03377942,0.092492619,0.236715011,0.091900095,0.366384928,0.246094996,0.061678605,0.003169345,0.161275745,0,0,0,0.423254873,0.253381077,0.302459078,0.387390179,0.391300835,0.105618846,0.04618812,0,0.121133545,0.15621719,0.289690604,0.282427914,0.223892173,0,0.096476393,0.140782494,0.170012843,0.223591767,0.196754329,0.294205196,0.170987618,0.150122111,0,0.175843307,0.170144758,0.143107752,0.151483039,0.304974099,0.426474314,0.418320221,0.147230467,0.136046079,0.09280917,0.133760006,0.194700942,0.175123363,0.169962192,0.270035655,0.118084829
"qP.1.1",0.866038318,0.800583457,0.787714612,0.921923104,0.89350973,0.909853075,0.83993346,0.906431488,0.887269991,0.468588933,0.494456599,0.570256322,0.625193355,0.816878704,0.791813937,0.545966559,0.493963309,0.729469551,0.783464199,0.772203835,0.755903451,0.918518381,0.829162047,0.887146484,0.994082093,0.963231861,0.833431522,0.800410066,0.693622165,0.763689025,0.892177518,0.998739004,1,0.904361532,0.672117829,0.82551413,1,0.971654777,0.985019381,0.991732314,1,1,0.914969422,0.906603606,0.899984607,0.904600495,0.883998422,0.90255412,0.855106944,0.956451871,0.929449539,0.733918862,0.721672429,0.688273225,0.669738159,0.708438787,0.746725748,0.940303502,0.97792417,0.882234815
"ABQ.1.1",0.028577306,0.105668739,0.110677214,0.14072772,0.245826483,0.100030942,0.116088301,0.150774127,0.170198186,0.134751226,0.082524242,0,0.073449455,0.007553051,0.066188503,0.148281719,0.098677263,0.00052991,0.18937644,0.200973673,0.132419191,0,0.063560802,0.118167516,0.166518224,0.142307477,0.157127761,0.164940825,0.182595511,0.166283156,0.12651101,0.112388837,0.101710958,0.178239138,0.322165304,0.158702823,0.031869501,0.200072725,0.133524646,0.155141948,0.191278314,0.123450769,0.207184315,0.138651764,0.13208731,0.037645654,0.027051861,0.005866466,0,0,0,0.104911197,0.147556367,0.197325224,0.160789556,0.101853508,0.041641808,0.080325855,0.032747711,0.159576353
"Quant.2.1",0.347217857,0.336003006,0.32112709,0.361456528,0.379190653,0.356437486,0.298342983,0.355169812,0.339504981,0.218451135,0.213766554,0.202355545,0.273653988,0.336080773,0.345288736,0.221149783,0.220058273,0.29037276,0.288487526,0.325444039,0.300507001,0.383185373,0.371924849,0.321943543,0.413479736,0.40585927,0.328173865,0.339649663,0.324168772,0.331066445,0.260900993,0.353421958,0.342399656,0.336257497,0.272629553,0.327739857,0.311834184,0.313443438,0.299471302,0.326840337,0.333679352,0.337483719,0.369349956,0.325797396,0.338118051,0.348458016,0.312950329,0.315652777,0.357045476,0.338155927,0.34228479,0.266159034,0.261598831,0.244733663,0.234448836,0.233905364,0.230512924,0.343900324,0.358274666,0.317898258
"Sigma.2.1",2.587829099,2.765041264,2.713263784,3.128732303,3.935850306,3.484384829,2.962438373,2.857100053,2.949832998,4.382926609,4.443887992,4.452366444,3.835152354,3.028969305,3.309209703,2.971046449,2.719223226,2.84567279,3.922329005,4.033971974,3.574851946,3.49157388,4.601845243,4.125756429,3.030143916,3.551035839,3.03982821,3.623844808,4.053241786,3.603319328,3.896315956,3.718727865,2.600789056,2.51716168,4.293074031,2.931160251,2.943134176,3.644136723,3.051569717,3.977370042,3.467636336,3.572396176,3.376894755,3.399300069,3.247606927,2.848059894,4.607858928,3.667605357,3.928833998,3.593683081,3.323958162,3.44350282,3.696590892,3.171582145,4.502949742,4.190258229,3.615263137,2.476390251,3.189271248,2.575580582
"Connect.2.1",0.112889011,0.235967897,0.13028957,0.207921065,0.140982925,0.279723945,0.124079599,0.130921365,0.192908412,0.040539726,0.040512572,0.042816028,0.176187999,0.138628254,0.198779144,0.012209128,0.11011775,0.104493781,0.225361204,0.152724233,0.232471191,0.22713699,0.128422001,0.275965967,0.068116129,0.122120892,0.112319537,0.335771606,0.330213648,0.222759397,0.160127037,0.045532649,0.08074819,0.168490179,0.333998928,0.169012795,0,0.071780124,0.079727604,0.150641811,0.268562665,0.164812911,0.117706578,0.188583351,0.046973026,0.309758313,0.299420561,0.253265934,0.304635667,0.020108718,0.350644662,0.226751865,0.15296607,0.253472176,0.205727946,0.275285512,0.220021474,0.200667357,0.123583559,0.116885334
"Tau1.2.1",787.3724409,1049.759033,966.5701955,1119.763815,1248.352043,1156.055289,1090.127091,1096.554758,1112.208072,1231.62741,1378.916552,1257.295035,1365.567438,1087.733742,1029.923563,899.0319047,992.3172085,891.4434318,1182.751798,1241.054824,1033.243995,1007.753474,1224.546107,1079.954739,1345.41277,1192.498852,920.3787886,1039.784099,1239.196509,1028.018534,1356.737081,1188.134756,842.5515003,797.2042105,1312.252232,1134.844165,1252.975625,1148.218884,929.2179256,1237.69783,1058.092023,952.7779628,856.597124,1037.456834,920.2798555,1017.996697,1620.336845,1264.187825,1032.264618,1398.524774,1120.518209,926.6845434,854.1135456,862.0056505,1156.744989,1050.123545,966.8772011,761.6434404,845.8673353,667.2705694
"Tau2.2.1",1783414.522,1990367.415,2104426.704,1153899.234,1007715.367,896822.5635,1180743.078,881785.2549,949844.3914,3649550.708,3536756.396,3159026.546,2413852.126,1767859.652,1330739.995,2863980.814,3124837.841,2150269.835,1441566.641,946777.9902,1167035.545,812757.3961,705128.0021,767281.7259,453419.1191,474234.5145,1083078.847,836565.2611,880407.7455,874775.8738,2372422.743,1267508.1,939892.6805,883876.5488,1407088.442,903109.5046,794145.9303,892667.7239,1139001.895,1245020.324,873520.6598,860002.3697,685503.1756,1204800.79,893677.7525,1018480.243,766015.6112,903631.9985,1739214.276,1585406.042,1571087.568,1799649.792,1559528.803,2564929.028,2256539.833,1674435.203,2890516.462,1280661.473,735838.2055,1067342.005
"NPQ.2.1",0.39434319,0.334545446,0.321877312,0.416955133,0.473054737,0.413613027,0.24969406,0.350534838,0.340407867,0.174448135,0.217726393,0.304844199,0.241046882,0.466133175,0.33644387,0.123386769,0.063069859,0.201960171,0.132313839,0.074779418,0.082513522,0.453258756,0.298576812,0.365114068,0.51172144,0.495118884,0.230066415,0.203196999,0.13338166,0.201292203,0.268850037,0.383182123,0.436728834,0.300300772,0.08664433,0.183254432,0.175527185,0.220896358,0.276094652,0.271395093,0.36466682,0.276526766,0.309485334,0.170820186,0.270553665,0.230339442,0.203286605,0.202406366,0.334207003,0.390390056,0.376066818,0.207683146,0.211760899,0.188526247,0.204765679,0.226340295,0.206600996,0.282133952,0.306326888,0.211029348
"qP.2.1",0.830472558,0.773986465,0.765048424,0.899001855,0.917644785,0.876424682,0.796866684,0.886550483,0.859461493,0.524566702,0.540150406,0.572962985,0.611333379,0.778893246,0.765611799,0.532021483,0.458873511,0.713985316,0.757959237,0.74987364,0.724729936,0.878719604,0.804433922,0.848029765,0.950923477,0.926185749,0.80054743,0.755594087,0.672292962,0.728505115,0.866683521,0.946974194,0.947808466,0.859149981,0.635275556,0.778155608,0.925234043,0.908311454,0.934023742,0.935211398,0.934347699,0.962565029,0.898581179,0.973990399,0.882157636,0.86241323,0.834405932,0.846911593,0.817685942,0.88957504,0.846115,0.705804673,0.698135917,0.667599095,0.661549949,0.673581547,0.685595712,0.928196296,0.925040482,0.836938928
"ABQ.2.1",0,0,0,0,0,0,0.020682177,0,0,0,0.00989543,0.027652755,0,0.088185258,0,0.041843475,0.015936519,0,0,0,0,0.00305374,0,0,0.074216815,0.034099616,0,0,0,0,0,0,0,0.126215873,0.209654584,0.003141696,0.067104353,0.024677321,0.071483768,0,0.082478024,0.019095315,0,0.07119265,0.058058663,0,0.033168478,0,0.085072823,0.107385593,0.171593876,0,0,0,0,0,0,0.060504647,0,0.03469687
"Quant.3.1",0.142893707,0.13400777,0.117802974,0.124772435,0.105370671,0.117101362,0.110629512,0.107539318,0.079669294,0.085439414,0.061815149,0.064810264,0.058870952,0.076918551,0.102384395,0.099886177,0.085829401,0.107496779,0.108645615,0.145896731,0.143755395,0.123170181,0.13583047,0.090782294,0.094862587,0.10929527,0.13567214,0.118631299,0.103198586,0.099046278,0.098816299,0.105631792,0.10233269,0.103985846,0.009157646,0.113347724,0.115917064,0.144485933,0.113815763,0.097932251,0.089221167,0.126766981,0.125214044,0.164144395,0.152192818,0.133642659,0.12501942,0.147472805,0.11854717,0.111011841,0.113358513,0.111384626,0.096041296,0.097160065,0.088578345,0.088652617,0.089780454,0.154915722,0.145752158,0.12975292
"Sigma.3.1",1.993203521,2.014083406,2.102025603,2.239808387,2.335637189,2.534859481,2.289990052,2.623324658,2.161484171,2.822531098,3.098539149,2.963485201,3.315571388,2.025173547,2.256972532,1.950400866,2.347792008,2.159359065,2.600351329,2.775450385,2.797340169,2.53422756,2.827117659,2.641937109,2.869744784,2.549584273,2.298927133,2.951842016,3.159512669,3.166968681,2.663130679,2.774262903,1.830832476,2.194061341,5.431895906,2.111242899,2.461808176,2.820232805,2.047223852,2.819668028,2.213005808,2.347651432,2.313243887,2.945063317,2.940483096,2.152279363,3.447744737,2.699093518,2.620929819,2.541181214,2.418683692,2.376318588,2.640021737,2.172776202,3.001731731,2.640790581,2.414772231,2.19811452,2.587185858,2.145894561
"Connect.3.1",0.2786553,0.338451338,0.234057445,0.32580222,0.248121046,0.212899636,0.103357891,0.286750553,0.320207488,0.260918458,0.31109451,0.310891361,0.539564356,0.311687288,0.398674512,0.20674246,0.344609603,0.331948392,0.439194534,0.236297871,0.170119201,0.052689954,0.248201486,0.331629745,0.33820243,0.251724783,0.245260464,0.188102751,0.441823337,0.158810876,0.324716321,0.26322374,0.318123566,0.344099978,0.035829515,0.334548151,0.161142574,0.07621773,0.179818764,0.362566467,0.431096711,0.284009663,0.25468247,0.183866578,0.147961157,0.32260312,0.317590728,0.084162745,0.295064645,0.202020129,0.281325202,0.175923097,0.270753569,0.268591123,0.136712242,0.176507997,0.266212114,0.278475607,0.202794569,0.447647714
"Tau1.3.1",1113.14209,1168.519009,1296.70551,1646.766948,1665.658868,2077.295025,1638.118423,1402.003805,1595.114752,1830.418385,1786.785265,1609.849734,2110.16011,2031.80887,1330.091074,1016.273241,1476.445626,1192.579433,1259.281578,1246.578958,1324.452113,1148.586522,1547.554991,1933.295932,2007.654614,2665.175099,1183.567673,1195.672946,1513.895125,1011.060857,3059.508201,2184.637549,2706.189211,1374.960907,7580.601018,1149.328706,1459.271294,1289.83969,1460.867399,1871.97491,2292.134591,1636.694877,1754.168806,1787.198876,1874.01885,1585.875431,2676.252671,1822.094691,1384.143314,1420.795712,1473.282039,788.8338939,1068.496651,1045.920919,865.8756565,1287.392196,1122.314114,859.1505973,1395.018033,993.8480582
"Tau2.3.1",2216510.661,2277580.535,2452769.228,2166015.279,1959652.185,2733964.998,2237504.32,1682982.095,2239885.756,3541739.868,5543050.385,6488149.011,2687546.51,2617268.844,2011002.115,4284936.054,2891384.892,6132583.716,2536781.053,1780702.967,2511312.951,2139654.136,1884540.494,3719686.666,2142008.852,1642307.84,1685778.59,1625335.328,2036774.373,2773280.688,2399279.157,1642405.277,2111117.95,1990803.031,23471575.27,1828299.91,2110203.475,1752260.845,2688060.714,2443893.811,2278201.526,2219271.198,1920312.237,1198635.236,1251002.391,1715322.559,1402682.091,1369025.777,2210632.47,2685723.565,3133235.563,2053715.636,4315874.019,2955766.022,2677800.198,3770426.906,3609970.72,1546266.957,1433003.991,1601250.02
"NPQ.3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049634925,0.005472503,0.074214457,0,0,0,0,0,0,0,0.060395007,0,0,0,0,0,0.003012704,0,0.050290722,0,0,0,0,0,0,0.023299536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002904926,0,0
"qP.3.1",0.223131642,0.206427023,0.185277372,0.20418602,0.167127752,0.188403025,0.201025179,0.182454072,0.13498985,0.133971248,0.094229231,0.095532247,0.086778564,0.109494484,0.153666445,0.17327207,0.147879459,0.187376846,0.307556407,0.303160283,0.415616636,0.188045051,0.211619345,0.152963578,0.147392752,0.167981295,0.239323383,0.198676914,0.256917918,0.16282276,0.205129258,0.187835658,0.178854839,0.182494118,0.023314201,0.204240257,0.353162851,0.299862139,0.235693781,0.194645303,0.162904205,0.253682416,0.217043402,0.420621426,0.280252985,0.244995919,0.243150334,0.289882462,0.187095885,0.188465377,0.183732502,0.200368325,0.171642021,0.177935994,0.160737091,0.159112038,0.169909998,0.299143229,0.265012432,0.248639053
"ABQ.3.1",0.229777762,0.271590109,0.225277831,0.284116322,0.406573674,0.272508748,0.242978996,0.081822614,0.26725202,0.356016801,0.309641067,0.352807836,0.135478573,0.390359258,0.317972345,0.37099963,0.15035428,0.241178018,0.337038957,0.311980747,0.217494819,0.276404059,0.385655643,0.359647823,0.123222679,0.306499697,0.243731233,0.185439175,0.220497361,0.121096857,0.316500328,0.253975283,0.296047301,0.238373924,0,0.281987392,0.219671957,0.245188305,0.377081059,0.291072242,0.41444798,0.355384404,0.314978981,0.195305975,0.147137372,0.244299824,0.276586297,0.264071988,0.389650995,0.368810518,0.397208904,0.309912403,0.285822582,0.314923561,0.333385469,0.369778559,0.332061834,0.166077166,0.188784629,0.195739108
"Quant.4.1",0.196374834,0.164217867,0.155592854,0.151768996,0.128974933,0.135247779,0.133244712,0.155002585,0.107799986,0.103027069,0.074418491,0.079906641,0.080897957,0.092714004,0.126118813,0.100940784,0.085059741,0.133816123,0.133452428,0.185357815,0.173656937,0.137403229,0.168860437,0.110041042,0.097728963,0.135029078,0.17145698,0.16013112,0.132635766,0.106260305,0.141092893,0.144390061,0.138899507,0.122117707,0.099987807,0.133923068,0.148472004,0.17078721,0.133110418,0.145956297,0.102526579,0.160511034,0.160761272,0.204662605,0.186399879,0.177202606,0.160658229,0.176193886,0.138863548,0.106879078,0.120748615,0.122976532,0.115148276,0.118105967,0.101622283,0.096410909,0.10017351,0.200123489,0.182228731,0.185045252
"Sigma.4.1",1.987790976,1.999422539,2.131755446,2.359584875,2.605632447,2.726061313,2.633532955,2.494825427,2.913803655,2.679303429,3.331116486,3.087265359,2.555856435,3.134026407,2.534693908,2.280111717,2.763259972,2.102862831,3.547443311,3.148462567,3.135749265,2.549971626,3.33210202,3.012314993,2.844933952,2.569128449,2.37137699,3.179375516,3.088939118,2.838004014,3.352130572,2.727997163,2.019398721,2.88075922,3.768968463,2.454581384,2.845364469,2.998847419,3.014258165,2.981727988,2.385783467,2.725635283,2.314600331,2.635096312,2.858886406,2.366945548,3.766550392,3.030428176,2.705521951,2.766664522,2.803959715,2.736224701,2.307931786,2.310832709,3.226828233,3.366215021,2.338626013,2.393016427,2.678956618,2.21601062
"Connect.4.1",0.100557736,0.299634722,0.16656039,0.364832093,0.265065021,0.332682659,0.298553753,0.051943226,0.302880481,0,0.148042517,0.157042663,0.269367793,0.400944976,0.154474066,0.076153415,0.582948643,0.089927632,0.249305876,0,0.171063321,0.251940546,0.262519089,0.273172673,0.433700866,0.215118224,0.234601691,0.168400856,0.317179904,0.270662217,0.258418238,0.193475884,0.348734665,0.406490826,0.476459908,0.275722666,0.064269847,0.038072777,0.333172549,0.180113677,0.522818204,0.064662282,0.36297468,0.149085058,0.09101882,0.34373482,0.190120349,0.237882759,0.021742521,0.224984203,0.17102219,0.35895105,0.300713204,0.33640056,0.35500718,0.374939956,0.319795235,0.280875024,0.26778328,0.25058693
"Tau1.4.1",1168.951721,1110.697781,1239.701434,1446.512207,1679.147732,1646.605236,1629.73087,1493.828738,1762.556974,1422.385708,1730.77431,1734.412386,1999.037134,2123.308682,1779.422274,1265.750758,1007.916629,1106.526326,1269.279751,1400.405651,1222.957319,1365.098669,1506.198612,1573.440406,3068.086183,2311.494365,1188.307698,1182.219919,1061.266105,1404.552096,2777.035479,2082.132797,1589.748195,1119.801144,2032.029779,1585.737422,1393.574461,1180.60449,1219.5217,1865.668892,1334.278483,1370.173181,1563.210451,1741.784118,2437.73608,1345.877541,3025.987695,1650.093804,1085.158489,2110.143878,1290.205645,1062.046747,1072.003905,1429.181144,1558.171502,1402.697947,1105.338219,1027.996483,1190.443473,947.1868118
"Tau2.4.1",1663834.757,1358263.705,2069464.064,1384041.603,1932059.806,1601771.896,2066694.492,1670773.738,2249961.629,3197041.238,3672072.861,4553736.854,3019501.801,2879880.8,1799752.753,3890386.356,3204756.262,2277430.24,2182155.57,1506087.759,1971024.27,1603293.23,1250154.826,2026205.315,1958633.345,1318405.098,1227734.425,1329493.568,1893534.273,2126185.155,1693021.796,1347624.561,1282446.069,1828685.05,2409341.385,2390938.845,1701597.665,1350035.48,1807999.287,1625818.488,1639765.569,1478481.661,1308034.1,986882.4497,1220633.63,1191762.344,1377667.784,1137162.568,1640497.303,2697024.354,1935164.171,2425114.276,2302551.418,5243712.123,4436709.203,2759906.527,2634365.118,1268792.025,1136015.736,1533518.787
