Sample,Species,Variant,Replicate,Tank,Symb,uniq,stat,Gen,use,use2
O76,Mcap2,2,1,Inside,C15,M.cap.2.1.In,Mcap,Montipora,y,Y
O77,Mcap2,2,2,Inside,C15,M.cap.2.2.In,Mcap,Montipora,y,Y
O78,Mcap2,2,3,Inside,C15,M.cap.2.3.In,Mcap,Montipora,y,Y
O80,Ayong1,1,2,Inside,C21,A.yong.1.2.In,Ayong,Acropora,n,Y
O81,Ayong1,1,3,Inside,C21,A.yong.1.3.In,Ayong,Acropora,n,Y
O82,Cyph1,1,1,Inside,C1,Cyph.1.1.In,Cyph,Cyphastrea,y,Y
O83,Cyph1,1,2,Inside,C1,Cyph.1.2.In,Cyph,Cyphastrea,y,Y
O84,Cyph1,1,3,Inside,C1,Cyph.1.3.In,Cyph,Cyphastrea,y,Y
O85,Tren1,1,1,Inside,D1,T.ren.1.1.In,Tren,Turbinaria,y,Y
O86,Tren1,1,2,Inside,D1,T.ren.1.2.In,Tren,Turbinaria,y,Y
O87,Tren1,1,3,Inside,D1,T.ren.1.3.In,Tren,Turbinaria,y,Y
