Coral,Species,SpecVarFrag,Species,Variant,Frag,Tank,C1,C3,C15,C21,C26,D1,Symbi,Col
O65,Ahum2,A.hum.2.2.In,7,2,2,Inside,0,1,0,0,0,0,C3,1
O66,Ahum2,A.hum.2.3.In,7,2,3,Inside,0,1,0,0,0,0,C3,1
O67,Pdam3,P.dam.3.1.In,11,3,1,Inside,0,0.02,0,0,0,0.98,D1,1
O68,Pdam3,P.dam.3.2.In,11,3,2,Inside,0.89,0,0,0,0,0.11,C1,1
O69,Pdam3,P.dam.3.3.In,11,3,3,Inside,0.05,0,0,0,0,0.95,D1,1
O70,Mdig2,M.dig.2.1.In,3,2,1,Inside,0,0,0.87,0,0,0.13,C15,1
O71,Mdig2,M.dig.2.2.In,3,2,2,Inside,0,0,0.87,0,0,0.13,C15,1
O72,Mdig2,M.dig.2.3.In,3,2,3,Inside,1,0,0,0,0,0,C1,1
O73,Mcap3,M.cap.3.1.In,1,3,1,Inside,0,0,0.97,0,0,0.03,C15,1
O74,Mcap3,M.cap.3.2.In,1,3,2,Inside,0,0,0.98,0,0,0.02,C15,1
O75,Mcap3,M.cap.3.3.In,1,3,3,Inside,0,0,1,0,0,0,C15,1
O76,Mcap2,M.cap.2.1.In,1,2,1,Inside,0,0,1,0,0,0,C15,1
O77,Mcap2,M.cap.2.2.In,1,2,2,Inside,0,0,0.95,0,0,0.05,C15,1
O78,Mcap2,M.cap.2.3.In,1,2,3,Inside,0,0,0.9,0,0,0.1,C15,1
O79,Ayong1,A.yong.1.1.In,2,1,1,Inside,0,0,0.23,0.57,0,0.2,C21C15D1,1
O80,Ayong1,A.yong.1.2.In,2,1,2,Inside,0,0,0,1,0,0,C21,1
O81,Ayong1,A.yong.1.3.In,2,1,3,Inside,0,0,0,1,0,0,C21,1
O82,Cyph1,Cyph.1.1.In,12,1,1,Inside,1,0,0,0,0,0,C1,1
O83,Cyph1,Cyph.1.2.In,12,1,2,Inside,0.9,0,0,0,0,0.1,C1,1
O84,Cyph1,Cyph.1.3.In,12,1,3,Inside,1,0,0,0,0,0,C1,1
O85,Tren1,T.ren.1.1.In,4,1,1,Inside,0.02,0,0,0,0,0.98,D1,1
O86,Tren1,T.ren.1.2.In,4,1,2,Inside,0.02,0,0,0,0,0.98,D1,1
O87,Tren1,T.ren.1.3.In,4,1,3,Inside,0.05,0,0,0,0,0.95,D1,1
